M0,GammaTotZp,WW,ZH,tautau,vv,BRbb,tt,BRll,BRqq,Zp_dijet,ll,gH_mod_X_sign_gF,gF_mod,GammaTotWp,WH,WZ,BRtauvt,BRud,BRus,BRcd,BRcs,tb,Wp_dijet,lv,GoM
1000.0,34.097515,0.19790229,0.19479999,0.026008774,0.07550878,0.07633416,0.070392944,0.052018024,0.30703503,0.30703503000000004,0.052018024,-1.9,0.56,34.103207,0.19062783,0.20162259,0.05116843,0.14569117,0.007814845,0.007814821,0.14569072,0.1466186,0.30701155599999996,0.102337346,0.034103206999999996
1000.0,35.55582,0.2135365,0.20856439,0.024776869,0.07177215,0.07261065,0.06701799,0.049554188,0.29216728,0.292167265,0.049554188,-2.0,0.56,35.56339,0.20407993,0.21754485,0.048688643,0.13863051,0.007436112,0.0074360897,0.13863009,0.13951288,0.2921328017,0.097377748,0.03556339
1000.0,37.140892,0.22914143,0.22193645,0.02356128,0.06809327,0.068941936,0.06368977,0.047122993,0.27751288,0.27751286999999997,0.047122992,-2.1,0.56,37.15077,0.21714452,0.23343417,0.046244286,0.13167073,0.007062791,0.0070627695,0.13167033,0.13250868,0.27746662050000004,0.092489012,0.03715077
1000.0,38.8625,0.2446847,0.23485205,0.022366157,0.06448409,0.065340154,0.06041948,0.044732723,0.26312065,0.26312065,0.044732724,-2.2,0.56,38.8752,0.2297586,0.24925692,0.04384351,0.12483503,0.0066961255,0.006696105,0.12483465,0.12562935,0.2630619105,0.087687432,0.0388752
1000.0,40.732094,0.26014498,0.24725552,0.021194823,0.060954098,0.06181494,0.057216085,0.04239003,0.24902952,0.249029515,0.04239003,-2.3,0.56,40.74822,0.24186753,0.26499066,0.04149282,0.11814194,0.0063371095,0.0063370904,0.118141584,0.11889356,0.24895772389999998,0.082986034,0.04074822
1000.0,42.763187,0.27551195,0.25909865,0.020049825,0.057510447,0.058373615,0.054086417,0.040100012,0.23526907,0.23526907300000002,0.040100012,-2.4,0.56,42.783455,0.25342384,0.28062406,0.039197173,0.11160557,0.0059865,0.005986482,0.111605234,0.112315476,0.235183786,0.07839472,0.042783455
1000.0,44.97186,0.2907863,0.27033937,0.018932983,0.05415813,0.05502133,0.051035337,0.03786631,0.22186023,0.22186024099999999,0.03786631,-2.5,0.56,44.997128,0.26438618,0.2961569,0.03696007,0.1052359,0.005644832,0.005644815,0.10523558,0.105905145,0.221761127,0.073920488,0.044997128
1000.0,47.377453,0.30598003,0.28094038,0.017845439,0.05090012,0.051761203,0.048065845,0.035691198,0.20881578,0.208815783,0.035691198,-2.6,0.56,47.40874,0.2747178,0.31160045,0.034783658,0.09903903,0.0053124335,0.0053124176,0.099038735,0.099668734,0.20870261610000002,0.06956764,0.047408740000000005
1000.0,50.003498,0.32111707,0.2908675,0.016787687,0.047737513,0.04859446,0.045179196,0.033575676,0.19614087,0.196140871,0.033575676,-2.7,0.56,50.042034,0.28438506,0.3269778,0.03266882,0.09301749,0.004989439,0.004989424,0.093017206,0.09360875,0.196013559,0.065337948,0.050042034
1000.0,52.879013,0.33623448,0.3000879,0.015759613,0.044669602,0.04552051,0.042374983,0.03151951,0.18383339,0.183833391,0.03151951,-2.8,0.56,52.926277,0.29335555,0.34232527,0.030615218,0.087170295,0.0046757967,0.0046757823,0.08717003,0.08772424,0.183691904,0.061230726,0.052926277
