mass,CX-(pb),CX+(pb),CX+-_PDF+,CX+-_PDF-,CX+-_QCD+,CX+-_QCD-,CX0(pb),CX0_PDF+,CX0_PDF-,CX0_QCD+,CX0_QCD-,WH,WW,WZ,ZH,CX0_up,CX0_down,CX+-_up,CX+-_down
5100.0,1.02747e-05,4.24846e-05,0.145,-0.119,0.569,-0.569,2.69688e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,3.853335351373961e-05,1.5588701355484662e-05,8.373875949705129e-05,2.2089760281866416e-05
5200.0,8.17488e-06,3.36384e-05,0.145,-0.119,0.569,-0.569,2.16883e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,3.0988510093591066e-05,1.2536428450956588e-05,6.636540283329886e-05,1.7506777606953832e-05
5300.0,6.49458e-06,2.65819e-05,0.145,-0.119,0.569,-0.569,1.74251e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,2.48971974397179e-05,1.0072182669954014e-05,5.249848659343522e-05,1.3848771954289552e-05
5400.0,5.15289e-06,2.09687e-05,0.145,-0.119,0.569,-0.569,1.39886e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,1.9987083925213503e-05,8.085792018233393e-06,4.145979083669761e-05,1.0936833151334437e-05
5500.0,4.08137e-06,1.65057e-05,0.145,-0.119,0.569,-0.569,1.12173e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,1.6027416361487027e-05,6.483905094586267e-06,3.267548476721563e-05,8.61958822816079e-06
5600.0,3.22782e-06,1.2968e-05,0.145,-0.119,0.569,-0.569,8.9865e-06,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,1.2840021853075443e-05,5.194441900680153e-06,2.570575947439661e-05,6.781018348769936e-06
5700.0,2.54763e-06,1.01644e-05,0.145,-0.119,0.569,-0.569,7.1896e-06,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,1.0272589007385657e-05,4.155784731444949e-06,2.017634090841427e-05,5.322392362974761e-06
5800.0,2.00722e-06,7.9506e-06,0.145,-0.119,0.569,-0.569,5.7453e-06,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,8.208955383349952e-06,3.3209399712877855e-06,1.5804900635431613e-05,4.169233798211406e-06
5900.0,1.5779e-06,6.2037e-06,0.145,-0.119,0.569,-0.569,4.5843e-06,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,6.550104287659685e-06,2.649850331640575e-06,1.2350837310242066e-05,3.2580735265511805e-06
6000.0,1.2378e-06,4.8299e-06,0.145,-0.119,0.569,-0.569,3.6528e-06,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,5.219165617861679e-06,2.1114179463422317e-06,9.630561265980748e-06,2.5404817437358125e-06
