mass,Wprime_cH3,Wprime_cH3_Up,Wprime_cH3_Down,Zprime_cH3,Zprime_cH3_Up,Zprime_cH3_Down,Zprime_cH1,Zprime_cH1_Up,Zprime_cH1_Down,Wprime_cH1,Wprime_cH1_Up,Wprime_cH1_Down,WH,WW,ZH,WZ
1800.0,0.0007762696923780001,0.0009354049793150001,0.0006567241597510001,0.000407289735297,0.000492413289974,0.00034375253659000004,4.17260274434e-05,5.048849320651401e-05,3.5175041134786205e-05,7.956552772840002e-05,9.587646091272203e-05,6.731243645822641e-05,0.49091611801197105,0.48722586945467006,0.49249835795836006,0.49292703913030006
1900.0,0.000553640004607,0.0006715653255880001,0.000466164883879,0.00029053055954700004,0.00035328516040900005,0.00024375513945900003,3.0015899130700005e-05,3.64393015446698e-05,2.5213355269788e-05,5.739763143230001e-05,6.950853166451532e-05,4.8328805665996606e-05,0.48834767743092505,0.48507625697303003,0.48874098144192,0.49096102568688804
2000.0,0.00039976894131,0.000486918570515,0.00033500637281700003,0.00020676628631500002,0.00025287516816400004,0.000172649849073,2.15525458828e-05,2.6337211068781602e-05,1.8017928358020802e-05,4.1642360541e-05,5.0762037499479e-05,3.4896298133358e-05,0.48916535314909004,0.48671744196918904,0.49042930043987903,0.49180689408411205
2100.0,0.000291050583555,0.000357119066021,0.00024244513610100003,0.00014793471402300002,0.00018210763296200002,0.000122933747353,1.55076531692e-05,1.9074413398116002e-05,1.288685978360519e-05,3.05303298169e-05,3.74301843555194e-05,2.54622950672946e-05,0.48869436031251307,0.49156374061422503,0.49530382941858403,0.48934944658639
2200.0,0.00021334727221800003,0.00026263049210000004,0.00017729158321300002,0.00010930920051800001,0.00013521548104200001,9.0398708829213e-05,1.1520675142999991e-05,1.4239554476747992e-05,9.539119018403998e-06,2.2466692666100002e-05,2.7656498671969102e-05,1.8647354912862994e-05,0.49005878006303005,0.484173013366253,0.48755823163826506,0.49094898674797605
2300.0,0.00015740586296300002,0.00019486845834800002,0.00013017464867,7.94391936249e-05,9.874291767575071e-05,6.545789554691761e-05,8.41211891666e-06,1.0464675932325042e-05,6.93158598732784e-06,1.6671746976000003e-05,2.0622951009312e-05,1.3787534749152001e-05,0.48765135481624206,0.48941295775626503,0.493930250055205,0.491970038401331
2400.0,0.00011755522695700001,0.00014635625756200001,9.6747951786434e-05,5.8898716152000004e-05,7.368229390615201e-05,4.8296947244640005e-05,6.26225801044e-06,7.82782251305e-06,5.1350515685608e-06,1.2492422648e-05,1.5553066196760003e-05,1.028126383930399e-05,0.488295999253322,0.48816257568812704,0.49135631187189005,0.48837604777779003
2500.0,8.73432546436e-05,0.00010926641155900001,7.15341255531084e-05,4.384182476770001e-05,5.5109173732998904e-05,3.57749290104432e-05,4.6783373391300015e-06,5.8806700352864125e-06,3.817523268730081e-06,9.32843155036e-06,1.166986786950035e-05,7.63998543974484e-06,0.49022174577928,0.48671137520481506,0.490558895957422,0.49065054240799605
2600.0,6.60108027393e-05,8.297557904330012e-05,5.3864815035268806e-05,3.2845744262e-05,4.1517020747168004e-05,2.6670744340744003e-05,3.5158728436099996e-06,4.44406327432304e-06,2.85488874901132e-06,7.0676686114199994e-06,8.884059444554939e-06,5.7672175869187195e-06,0.48969471975634005,0.48551243913795805,0.488072258676471,0.48983620912928305
2700.0,4.9916975404700004e-05,6.30950569115408e-05,4.05325840286164e-05,2.4637292551300003e-05,3.1313998832702295e-05,1.99069323814504e-05,2.64482223267e-06,3.3589242354909e-06,2.1396611862300288e-06,5.359174908280001e-06,6.773997084065921e-06,4.351650025523361e-06,0.488694630203916,0.487367348957411,0.49039212691835704,0.48757505487698805
