M0,M+,g,gv,ch,cq,cl,c3,cvvw,cvvhh,cvvv,total_widthV0GeV,BRWW,BRZh,BRuu,BRdd,BRll,BRnunu,BRbb,BRtt,total_widthV+GeV,BRWZ,BRWGam,BRWh,BRud,BRus,BRlnu,BRtb,CX+(pb),CX0(pb),CX-(pb)
2500.,2500.,0.64767,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,62.9763,0.0207026,0.020471,0.120094,0.120043,0.0400481,0.0399977,0.120042,0.118372,62.9763,0.0207723,0.,0.0204014,0.227912,0.0122252,0.0800459,0.238413,0.214407,0.12619,0.0600773
2550.,2550.,0.647698,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,64.2546,0.0206826,0.0204601,0.120088,0.12004,0.0400456,0.0399972,0.120039,0.118433,64.2545,0.0207496,0.,0.0203932,0.227904,0.0122247,0.0800429,0.238471,0.190984,0.111927,0.0528291
2600.,2600.,0.647725,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,65.5325,0.0206638,0.0204498,0.120083,0.120037,0.0400433,0.0399967,0.120035,0.118491,65.5325,0.0207282,0.,0.0203855,0.227896,0.0122243,0.08004,0.238526,0.170229,0.0993604,0.0466572
2650.,2650.,0.64775,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,66.8101,0.0206461,0.0204401,0.120078,0.120034,0.0400411,0.0399962,0.120032,0.118546,66.8101,0.0207081,0.,0.0203782,0.227888,0.0122239,0.0800373,0.238578,0.151829,0.0882793,0.0412464
2700.,2700.,0.647773,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,68.0874,0.0206293,0.0204309,0.120074,0.120031,0.040039,0.0399958,0.120029,0.118598,68.0873,0.020689,0.,0.0203713,0.227881,0.0122235,0.0800348,0.238626,0.135496,0.0784886,0.0364934
2750.,2750.,0.647796,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,69.3643,0.0206134,0.0204222,0.120069,0.120028,0.040037,0.0399954,0.120027,0.118646,69.3643,0.020671,0.,0.0203648,0.227874,0.0122231,0.0800324,0.238673,0.121101,0.0698357,0.0323132
2800.,2800.,0.647817,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,70.641,0.0205984,0.020414,0.120065,0.120025,0.0400351,0.039995,0.120024,0.118693,70.641,0.0206539,0.,0.0203586,0.227868,0.0122228,0.0800301,0.238716,0.108026,0.0621818,0.028635
2850.,2850.,0.647837,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,71.9175,0.0205842,0.0204062,0.120061,0.120023,0.0400333,0.0399946,0.120022,0.118736,71.9175,0.0206377,0.,0.0203527,0.227862,0.0122224,0.080028,0.238758,0.0965238,0.055397,0.0253949
2900.,2900.,0.647856,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,73.1937,0.0205707,0.0203988,0.120058,0.12002,0.0400317,0.0399943,0.120019,0.118778,73.1937,0.0206224,0.,0.0203472,0.227856,0.0122221,0.080026,0.238797,0.0862806,0.0494556,0.0225355
2950.,2950.,0.647875,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,74.4696,0.0205579,0.0203918,0.120054,0.120018,0.0400301,0.0399939,0.120017,0.118818,74.4696,0.0206078,0.,0.0203419,0.22785,0.0122218,0.080024,0.238834,0.0771552,0.0440388,0.0200124
3000.,3000.,0.647892,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,75.7453,0.0205457,0.0203851,0.120051,0.120016,0.0400285,0.0399936,0.120015,0.118855,75.7453,0.020594,0.,0.0203369,0.227845,0.0122216,0.0800222,0.23887,0.0690169,0.039304,0.0177771
3050.,3050.,0.647908,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,77.0208,0.0205341,0.0203788,0.120047,0.120014,0.0400271,0.0399933,0.120013,0.118891,77.0208,0.0205808,0.,0.0203321,0.22784,0.0122213,0.0800204,0.238903,0.0617514,0.0350938,0.0158059
3100.,3100.,0.647924,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,78.2961,0.0205231,0.0203727,0.120044,0.120012,0.0400257,0.039993,0.120011,0.118925,78.2961,0.0205683,0.,0.0203276,0.227835,0.012221,0.0800188,0.238935,0.0552669,0.0313499,0.0140613
3150.,3150.,0.647939,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,79.5712,0.0205126,0.020367,0.120042,0.12001,0.0400244,0.0399927,0.120009,0.118957,79.5712,0.0205564,0.,0.0203233,0.227831,0.0122208,0.0800172,0.238966,0.0494743,0.0280186,0.0125159
3200.,3200.,0.647953,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,80.8461,0.0205026,0.0203615,0.120039,0.120008,0.0400231,0.0399925,0.120007,0.118988,80.8461,0.020545,0.,0.0203192,0.227826,0.0122206,0.0800157,0.238995,0.0442975,0.0250523,0.0111461
3250.,3250.,0.647966,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,82.1208,0.020493,0.0203563,0.120036,0.120006,0.040022,0.0399922,0.120006,0.119017,82.1208,0.0205341,0.,0.0203152,0.227822,0.0122203,0.0800142,0.239023,0.0396719,0.0224086,0.00992992
3300.,3300.,0.647979,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,83.3954,0.0204839,0.0203513,0.120034,0.120005,0.0400208,0.039992,0.120004,0.119046,83.3954,0.0205238,0.,0.0203115,0.227818,0.0122201,0.0800128,0.239049,0.0355346,0.0200522,0.00885072
3350.,3350.,0.647992,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,84.6698,0.0204752,0.0203465,0.120031,0.120003,0.0400197,0.0399918,0.120003,0.119072,84.6697,0.0205139,0.,0.0203079,0.227815,0.0122199,0.0800115,0.239075,0.0318322,0.0179499,0.0078923
3400.,3400.,0.648004,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,85.944,0.0204669,0.0203419,0.120029,0.120002,0.0400187,0.0399915,0.120001,0.119098,85.944,0.0205044,0.,0.0203045,0.227811,0.0122197,0.0800102,0.239099,0.0285189,0.0160726,0.00703971
3450.,3450.,0.648015,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,87.2181,0.0204589,0.0203376,0.120027,0.12,0.0400177,0.0399913,0.12,0.119123,87.2181,0.0204954,0.,0.0203012,0.227808,0.0122196,0.080009,0.239122,0.0255512,0.0143957,0.00628167
3500.,3500.,0.648026,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,88.492,0.0204513,0.0203334,0.120025,0.119999,0.0400167,0.0399911,0.119998,0.119146,88.492,0.0204867,0.,0.020298,0.227804,0.0122194,0.0800079,0.239144,0.022895,0.0128987,0.00560736
3550.,3550.,0.648036,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,89.7658,0.020444,0.0203294,0.120023,0.119998,0.0400158,0.0399909,0.119997,0.119169,89.7658,0.0204784,0.,0.020295,0.227801,0.0122192,0.0800068,0.239166,0.0205156,0.0115601,0.00500639
3600.,3600.,0.648046,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,91.0395,0.020437,0.0203256,0.120021,0.119996,0.0400149,0.0399907,0.119996,0.11919,91.0395,0.0204704,0.,0.0202921,0.227798,0.012219,0.0800057,0.239186,0.0183838,0.0103622,0.00447094
3650.,3650.,0.648056,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,92.313,0.0204303,0.0203219,0.120019,0.119995,0.0400141,0.0399906,0.119995,0.119211,92.313,0.0204628,0.,0.0202894,0.227795,0.0122189,0.0800047,0.239206,0.0164742,0.00929096,0.00399393
